iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  69  6.2404220e+04 5.80e+02 4.04e+04  -1.0 1.49e+02   2.2 4.04e-01 3.33e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  6.2383853e+04 5.71e+02 3.97e+04  -1.0 9.31e+01   2.6 1.56e-02 1.71e-02f  1
  71  6.1662524e+04 5.99e+02 1.28e+05  -1.0 9.55e+02   2.1 3.57e-04 2.10e-02f  1
  72  6.1467008e+04 5.82e+02 9.34e+05  -1.0 2.28e+01   3.5 3.65e-03 2.82e-02f  1
  73  6.1404511e+04 5.82e+02 5.62e+06  -1.0 2.56e+02   3.0 8.12e-06 1.35e-03f  1
  74  6.1392558e+04 5.81e+02 6.41e+06  -1.0 2.94e+01   3.4 1.49e-03 1.57e-03f  1
  75  6.1392422e+04 5.81e+02 6.38e+06  -1.0 1.29e+02   2.9 2.26e-02 4.95e-06f  2
  76  6.1392351e+04 5.81e+02 2.68e+06  -1.0 1.58e+02   2.5 5.58e-04 2.21e-06h  2
  77  6.1392417e+04 5.81e+02 2.29e+08  -1.0 3.19e+01   2.0 1.00e+00 2.67e-04h  1
  78  6.1393767e+04 5.78e+02 1.66e+08  -1.0 3.38e+01   1.5 4.09e-01 3.82e-03h  1
  79  6.1403192e+04 5.69e+02 1.87e+08  -1.0 3.42e+01   1.9 3.26e-01 1.56e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  6.1567512e+04 4.77e+02 4.67e+07  -1.0 3.59e+01   1.4 1.00e+00 2.99e-01h  1
  81  6.1620359e+04 4.27e+02 7.03e+07  -1.0 2.39e+01   1.9 5.23e-01 1.07e-01h  1
  82  6.1631537e+04 4.14e+02 6.88e+07  -1.0 2.29e+01   1.4 2.18e-02 3.08e-02h  1
  83  6.1646690e+04 4.00e+02 6.82e+07  -1.0 2.12e+01   1.8 1.00e+00 3.38e-02h  1
  84  6.1781423e+04 2.61e+02 5.20e+07  -1.0 2.18e+01   1.3 2.58e-01 3.92e-01h  1
  85  6.1787981e+04 2.57e+02 1.74e+07  -1.0 1.36e+01   1.8 1.00e+00 1.54e-02h  1
  86  6.1973268e+04 1.21e+02 1.02e+07  -1.0 1.38e+01   1.3 1.00e+00 5.38e-01h  1
  87  6.1979373e+04 1.18e+02 2.03e+07  -1.0 2.09e+01   0.8 7.21e-01 2.84e-02h  1
  88  6.2079570e+04 7.92e+01 1.28e+07  -1.0 7.04e+00   1.2 5.06e-02 3.52e-01h  1
  89  6.2084518e+04 7.45e+01 1.38e+07  -1.0 1.84e+01   0.8 4.10e-01 7.61e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.2148604e+04 5.11e+01 7.80e+06  -1.0 5.93e+00   1.2 1.48e-02 3.71e-01h  1
  91  6.2106820e+04 5.24e+01 7.86e+06  -1.0 1.95e+01   0.7 5.20e-01 2.06e-01f  1
  92  6.2123370e+04 3.55e+01 4.85e+06  -1.0 4.92e+00   1.1 3.88e-01 3.85e-01h  1
  93  6.2115249e+04 3.43e+01 5.48e+06  -1.0 9.02e+00   0.7 4.72e-01 3.61e-02f  1
  94  6.1618844e+04 1.59e+03 4.60e+06  -1.0 2.94e+02   0.2 9.49e-02 1.66e-01f  1
  95  6.1404256e+04 1.19e+03 3.16e+06  -1.0 8.43e+00   0.6 7.29e-02 2.55e-01f  1
  96  6.1278111e+04 7.85e+02 2.44e+06  -1.0 2.88e+00   1.0 6.07e-01 3.40e-01f  1
  97  6.0841551e+04 2.56e+02 7.79e+05  -1.0 7.97e+00   0.6 6.79e-01 6.83e-01f  1
  98  6.0215387e+04 2.33e+02 5.50e+05  -1.0 1.65e+02   0.1 5.25e-02 1.09e-01f  1
  99  6.0235229e+04 2.28e+02 5.35e+05  -1.0 5.59e+00   1.4 2.26e-02 2.22e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  6.0243825e+04 2.15e+02 2.00e+05  -1.0 1.67e+00   1.8 1.12e-01 5.62e-02h  1
 101  6.0260137e+04 2.13e+02 7.04e+04  -1.0 1.08e+01   1.4 1.61e-02 8.94e-03h  1
 102  6.0278116e+04 1.93e+02 6.98e+05  -1.0 2.30e+00   1.8 2.34e-01 9.33e-02h  1
 103  6.0362512e+04 1.91e+02 2.39e+05  -1.0 4.34e+01   1.3 4.51e-03 1.14e-02h  1
 104  6.0416950e+04 1.59e+02 9.27e+03  -1.0 4.52e+00   1.7 1.36e-01 1.67e-01h  1
 105  6.0429501e+04 5.30e+01 1.96e+05  -1.0 4.32e+00   2.2 1.00e+00 6.67e-01h  1
 106  6.0338491e+04 2.80e+00 2.58e+06  -1.0 3.91e+00   1.7 3.32e-01 1.00e+00f  1
 107  6.0290868e+04 2.02e+00 1.09e+06  -1.0 9.10e-01   1.2 6.86e-01 2.83e-01f  1
 108  6.0183691e+04 1.68e+00 7.77e+05  -1.0 3.81e+00   0.7 3.71e-01 2.41e-01f  1
 109  5.9409097e+04 1.13e+01 3.43e+05  -1.0 1.29e+01   0.3 5.60e-01 5.61e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  5.9405736e+04 9.74e+00 4.69e+05  -1.0 3.01e+00   0.7 3.47e-01 1.51e-01f  1
 111  5.9408148e+04 5.82e+00 1.38e+05  -1.0 1.22e+00   1.1 2.18e-01 4.14e-01h  1
 112  5.9410773e+04 2.07e+00 1.46e+05  -1.0 1.30e+00   1.5 8.25e-01 6.51e-01h  1
 113  5.9217402e+04 8.06e-01 5.80e+05  -1.0 1.10e+00   1.1 3.66e-01 1.00e+00f  1
 114  5.9169316e+04 7.98e-01 5.36e+05  -1.0 2.45e+01   0.6 2.05e-02 1.38e-02f  1
 115  5.8760949e+04 1.12e+00 8.31e+05  -1.0 2.13e+00   1.0 3.70e-01 9.83e-01f  1
 116  5.8194111e+04 4.64e+00 3.39e+05  -1.0 4.51e+00   0.5 5.39e-01 6.26e-01f  1
 117  5.8161492e+04 4.46e+00 3.49e+05  -1.0 4.27e+00   1.0 2.60e-02 3.83e-02f  1
 118  5.8054763e+04 3.17e-01 1.29e+04  -1.0 5.75e-01   1.4 1.00e+00 1.00e+00f  1
 119  5.7731475e+04 1.65e+00 2.15e+05  -1.0 1.84e+00   0.9 1.00e+00 9.01e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  5.7719792e+04 1.62e+00 8.85e+04  -1.0 4.27e+00   0.4 1.22e-01 1.79e-02f  1
 121  5.7689312e+04 1.66e+00 9.93e+04  -1.0 1.16e+01  -0.1 4.70e-02 2.04e-02f  1
 122  5.7538314e+04 4.75e+00 1.36e+05  -1.0 4.27e+01  -0.5 1.02e-01 3.90e-02f  1
 123  5.6117609e+04 1.65e+03 1.12e+05  -1.0 3.81e+03  -1.0 8.85e-03 1.16e-02f  1
 124  5.6106843e+04 1.62e+03 2.39e+05  -1.0 1.45e+01   0.3 1.33e-01 2.20e-02f  1
 125  5.6104775e+04 1.60e+03 5.82e+05  -1.0 1.43e+01  -0.2 3.29e-01 8.03e-03h  1
 126  5.5848720e+04 1.06e+03 2.54e+05  -1.0 1.81e+01  -0.6 1.82e-01 3.56e-01f  1
 127  5.5734889e+04 1.01e+03 9.18e+05  -1.0 7.72e+01  -1.1 1.00e+00 4.75e-02f  1
 128  5.5730285e+04 1.00e+03 7.83e+05  -1.0 1.92e+01  -0.7 5.71e-01 8.18e-03f  1
 129  5.5405237e+04 7.52e+02 5.64e+05  -1.0 7.82e+01  -1.2 1.00e+00 2.50e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  5.5339733e+04 6.56e+02 3.50e+05  -1.0 3.47e+01  -0.7 1.00e+00 1.28e-01f  1
 131  5.5190207e+04 1.25e+02 4.47e+04  -1.0 1.30e+01  -0.3 9.48e-01 8.57e-01f  1
 132  5.5180827e+04 1.05e+02 3.53e+03  -1.0 1.50e+01   0.1 6.91e-03 1.56e-01f  1
 133  5.5176653e+04 8.58e+01 6.41e+03  -1.0 8.14e+00   0.5 4.78e-03 1.84e-01f  1
 134  5.5179009e+04 6.10e+01 6.13e+04  -1.0 5.32e+00   1.0 2.16e-01 2.90e-01h  1
 135  5.5144392e+04 1.23e+00 1.93e+05  -1.0 1.94e+00   0.5 1.59e-02 1.00e+00f  1
 136  5.5144223e+04 1.17e+00 8.96e+04  -1.0 1.32e-01   4.5 3.38e-02 4.85e-02h  1
 137  5.5144283e+04 1.06e+00 4.98e+05  -1.0 1.12e-01   4.1 3.68e-01 9.42e-02h  1
 138  5.5145792e+04 1.04e-02 1.25e+05  -1.0 1.02e-01   3.6 2.89e-01 1.00e+00h  1
 139  5.5145676e+04 1.26e-05 4.96e+02  -1.0 5.88e-03   3.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  5.5145407e+04 4.97e-05 2.19e+01  -1.0 1.96e-02   2.6 1.00e+00 1.00e+00f  1
 141  5.5140032e+04 6.12e-04 9.36e+03  -1.7 6.54e-02   2.1 9.43e-01 1.00e+00f  1
 142  5.5134297e+04 5.24e-03 7.24e+03  -1.7 1.76e-01   1.7 1.00e+00 9.37e-01f  1
 143  5.5126140e+04 2.77e-02 1.43e+04  -1.7 5.15e-01   1.2 1.00e+00 6.87e-01f  1
 144  5.5107430e+04 4.46e-01 3.56e+02  -1.7 1.54e+00   0.7 1.00e+00 5.47e-01f  1
 145  5.5106667e+04 4.41e-01 5.06e+04  -1.7 4.01e+00   0.2 1.00e+00 1.09e-02f  1
 146  5.5031812e+04 1.29e+00 3.37e+04  -1.7 1.18e+01  -0.2 1.00e+00 4.06e-01f  1
 147  5.5030145e+04 1.29e+00 1.32e+04  -1.7 2.73e+01  -0.7 1.09e-01 5.30e-03f  1
 148  5.4725527e+04 1.77e+02 2.01e+05  -1.7 1.17e+02  -1.2 1.00e+00 3.10e-01f  1
 149  5.4199611e+04 5.99e+02 2.28e+03  -1.7 4.09e+01  -0.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  5.4021851e+04 5.74e+02 1.97e+05  -1.7 5.52e+01  -0.3 8.14e-01 1.41e-01f  1
 151  5.4138139e+04 4.35e+02 4.47e+05  -1.7 2.45e+01  -0.8 3.64e-03 3.74e-01H  1
 152  5.4101902e+04 4.08e+02 3.09e+05  -1.7 4.48e+01  -1.3 3.53e-01 6.43e-02f  1
 153  5.4120652e+04 4.02e+02 2.77e+05  -1.7 2.42e+02    -  1.80e-01 1.64e-02h  6
 154r 5.4120652e+04 4.02e+02 1.00e+03   2.3 0.00e+00   4.5 0.00e+00 4.21e-07R  5
 155r 5.4304172e+04 2.77e+02 4.51e+04   2.3 1.94e+05    -  7.94e-04 3.20e-04f  1
 156  5.4262857e+04 2.77e+02 3.86e+01  -1.7 2.69e+03    -  7.56e-04 1.55e-04f  1
 157  5.4258162e+04 2.77e+02 3.86e+01  -1.7 2.32e+03    -  1.45e-05 1.95e-05f  1
 158  5.4254522e+04 2.77e+02 2.85e+04  -1.7 1.86e+03    -  4.12e-02 1.77e-05f  1
 159  5.4242389e+04 2.76e+02 5.91e+05  -1.7 2.00e+02    -  3.74e-01 3.29e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  5.4217052e+04 2.71e+02 1.20e+06  -1.7 1.44e+02    -  6.61e-01 1.73e-02f  1
 161  5.3621040e+04 3.24e+03 2.76e+05  -1.7 8.72e+01    -  3.34e-01 6.82e-01f  1
 162  5.3595703e+04 3.18e+03 2.80e+05  -1.7 9.28e+02    -  1.47e-01 1.91e-02f  1
 163  5.3560176e+04 2.35e+03 1.93e+05  -1.7 1.09e+01    -  1.83e-01 2.60e-01f  1
 164  5.3534715e+04 6.67e+02 4.11e+04  -1.7 6.55e+00    -  6.20e-01 7.13e-01h  1
 165  5.3534674e+04 1.72e+00 1.91e+03  -1.7 1.79e+00    -  9.71e-01 1.00e+00h  1
 166  5.3534468e+04 9.54e-04 1.00e+02  -1.7 1.95e+01    -  9.90e-01 1.00e+00h  1
 167  5.3534166e+04 4.55e-05 9.79e+01  -1.7 1.95e+03    -  1.00e+00 1.00e+00f  1
 168  5.3534100e+04 1.90e-06 9.30e+01  -1.7 9.79e+04    -  1.00e+00 1.00e+00f  1
 169  5.3534121e+04 5.54e-07 2.48e+00  -1.7 2.11e-04   4.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  5.3532984e+04 6.19e-06 1.70e+04  -3.8 5.36e-02    -  3.03e-01 5.68e-01f  1
 171  5.3532347e+04 3.55e-06 2.88e+03  -3.8 3.44e-02    -  7.50e-01 7.00e-01f  1
 172  5.3532060e+04 6.42e-07 4.59e+03  -3.8 4.73e-02    -  5.33e-01 9.22e-01f  1
 173  5.3532030e+04 8.73e-08 1.04e+02  -3.8 2.71e-04   3.6 1.00e+00 1.00e+00f  1
 174  5.3532024e+04 3.85e-08 5.96e+03  -3.8 1.67e-04   4.0 1.00e+00 7.03e-01f  1
 175  5.3532024e+04 9.87e-08 4.04e+03  -3.8 6.11e-05   6.3 1.56e-01 2.03e-01f  2
 176  5.3532020e+04 1.42e-06 3.27e+04  -3.8 9.33e-02    -  7.85e-01 1.39e-01f  1
 177  5.3532016e+04 1.42e-06 3.67e+04  -3.8 2.55e-02    -  4.40e-01 5.20e-03f  1
 178  5.3532004e+04 6.28e-08 3.29e+00  -3.8 1.52e-03    -  1.00e+00 1.00e+00f  1
 179  5.3532003e+04 5.23e-08 7.68e+05  -3.8 3.68e-05   5.8 1.00e+00 1.67e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  5.3532004e+04 3.98e-08 1.16e+05  -3.8 2.43e-04    -  1.00e+00 2.50e-01f  3
 181  5.3532005e+04 3.49e-08 1.01e+05  -3.8 2.24e-04    -  1.00e+00 1.25e-01f  4
 182  5.3532008e+04 5.44e-09 7.34e-01  -3.8 1.96e-04    -  1.00e+00 1.00e+00h  1
 183  5.3532007e+04 4.36e-08 5.41e+04  -5.7 2.08e-05   6.2 5.64e-01 6.58e-01f  1
 184  5.3531995e+04 2.56e-08 2.12e+05  -5.7 4.26e-03    -  9.69e-01 4.13e-01f  1
 185  5.3531992e+04 2.60e-09 4.36e-01  -5.7 1.48e-04    -  1.00e+00 1.00e+00f  1
 186  5.3531992e+04 1.86e-09 3.88e+01  -5.7 2.09e-04    -  1.00e+00 6.10e-05h 15
 187  5.3531992e+04 1.85e-09 5.24e-02  -5.7 3.03e-06    -  1.00e+00 6.10e-05h 15
 188  5.3531992e+04 1.79e-09 8.07e-04  -5.7 3.03e-06    -  1.00e+00 1.00e+00H  1
 189  5.3531992e+04 1.56e-09 2.16e+05  -8.6 3.04e-05   5.7 2.63e-01 1.26e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  5.3531992e+04 7.86e-09 3.67e+04  -8.6 7.55e-06   6.1 8.20e-01 7.88e-01f  1
 191  5.3531992e+04 7.08e-09 4.41e+05  -8.6 2.42e-05   5.7 5.10e-01 9.93e-02h  2
 192  5.3531992e+04 7.08e-09 4.12e+05  -8.6 5.02e+00    -  4.26e-02 1.84e-08f  1
 193  5.3531992e+04 3.75e-09 3.41e+04  -8.6 9.21e-07   7.0 8.89e-01 7.04e-01f  1
 194  5.3531992e+04 3.75e-09 2.24e+04  -8.6 6.62e+00    -  4.92e-02 6.44e-08f  1
 195  5.3531992e+04 3.75e-09 2.02e+05  -8.6 3.85e-04    -  1.00e+00 1.24e-05f 13
 196  5.3531992e+04 9.22e-06 1.62e+05  -8.6 4.44e-05    -  1.00e+00 1.98e-01H  1
 197  5.3531992e+04 9.22e-06 1.62e+05  -8.6 4.17e-05    -  1.00e+00 4.88e-04h 12
 198  5.3531992e+04 8.98e-06 1.60e+05  -8.6 4.47e-05    -  1.00e+00 1.56e-02h  7
 199  5.3531992e+04 8.95e-06 1.59e+05  -8.6 5.58e-05    -  1.00e+00 3.91e-03h  9
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  5.3531992e+04 5.45e-06 7.51e+03  -8.6 1.42e-05   6.5 2.10e-01 3.91e-01h  1
 201  5.3531992e+04 5.45e-06 4.76e+05  -8.6 1.92e-05   6.0 6.83e-01 6.68e-04h  1
 202  5.3531992e+04 5.45e-06 4.57e+05  -8.6 9.17e-01    -  5.06e-02 3.05e-06f  1
 203  5.3531992e+04 5.45e-06 3.16e+05  -8.6 6.38e-05    -  3.90e-01 6.89e-05f 13
 204  5.3531992e+04 3.79e-06 1.13e+05  -8.6 1.57e-05   5.6 4.47e-02 3.05e-01h  1
 205  5.3531992e+04 3.76e-09 2.99e+04  -8.6 2.64e-06   6.9 7.57e-01 1.00e+00f  1
 206  5.3531992e+04 3.76e-09 1.16e+05  -8.6 3.03e-01    -  1.00e+00 9.16e-10f  2
 207  5.3531993e+04 1.88e-09 1.07e-02  -8.6 4.95e-05    -  1.00e+00 1.00e+00h  1
 208  5.3531993e+04 8.73e-11 1.15e-02  -8.6 5.43e-10   7.3 1.00e+00 1.00e+00h  1
 209  5.3531993e+04 2.61e-10 1.28e-06  -8.6 8.51e-09    -  1.00e+00 1.00e+00h  1
