iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.3650938e+05 1.58e+05 1.22e+07  -1.0 2.66e+03   1.7 7.74e-01 2.37e-04f  1
  61  2.1616980e+05 1.48e+05 1.06e+07  -1.0 2.56e+03   1.2 1.99e-01 5.53e-02f  1
  62  2.1601631e+05 1.48e+05 1.36e+07  -1.0 2.53e+03   1.6 6.22e-01 4.41e-04f  1
  63  1.9876091e+05 1.41e+05 1.37e+07  -1.0 2.37e+03   1.1 1.06e-01 4.57e-02f  1
  64  1.9579099e+05 1.40e+05 2.74e+07  -1.0 2.38e+03   1.5 1.00e+00 8.15e-03f  1
  65  1.8687546e+05 1.37e+05 2.64e+07  -1.0 2.51e+03   1.1 1.30e-02 2.28e-02f  1
  66  1.8679801e+05 1.37e+05 5.05e+07  -1.0 2.51e+03   1.5 5.79e-01 2.17e-04f  1
  67  1.8685058e+05 1.37e+05 5.27e+07  -1.0 2.61e+04   1.0 2.07e-02 2.16e-04h  1
  68  1.9806060e+05 1.33e+05 4.98e+07  -1.0 3.51e+04   0.5 1.45e-02 2.66e-02h  1
  69  1.9818117e+05 1.33e+05 5.73e+07  -1.0 2.43e+04   1.0 9.42e-02 5.25e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.0518190e+05 1.29e+05 6.04e+07  -1.0 2.44e+04   0.5 9.48e-02 3.06e-02h  1
  71  2.0520972e+05 1.29e+05 7.95e+07  -1.0 1.93e+04   0.9 1.55e-01 1.81e-04h  1
  72  2.0522517e+05 1.29e+05 7.80e+07  -1.0 1.06e+05   0.4 1.77e-05 3.95e-04h  1
  73  2.0522573e+05 1.29e+05 7.80e+07  -1.0 3.11e+04   0.9 6.83e-10 8.27e-07f  4
  74  2.0685037e+05 1.33e+05 7.61e+07  -1.0 4.72e+04   0.4 5.18e-07 1.47e-03h  5
  75  2.1199941e+05 1.41e+05 7.41e+07  -1.0 6.06e+04   0.8 3.36e-03 5.08e-03h  4
  76  2.2972084e+05 1.67e+05 6.55e+07  -1.0 3.98e+04   0.3 2.90e-02 3.26e-02h  2
  77  2.3992220e+05 1.66e+05 9.08e+07  -1.0 1.96e+04   0.8 1.80e-01 5.76e-02h  1
  78  2.3997215e+05 1.65e+05 1.66e+08  -1.0 1.38e+04   0.3 2.40e-01 7.66e-04h  1
  79r 2.3997215e+05 1.65e+05 1.00e+03   3.9 0.00e+00   0.7 0.00e+00 4.80e-07R  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 2.2885409e+05 6.25e+04 1.38e+05   3.9 6.29e+06    -  8.27e-03 1.29e-03f  1
  81  2.2882650e+05 6.25e+04 7.03e+01  -1.0 1.24e+03    -  2.20e-02 3.03e-04f  1
  82  2.2883430e+05 6.24e+04 5.67e+01  -1.0 1.03e+04    -  6.23e-04 1.40e-03h  1
  83  2.2883064e+05 6.24e+04 1.93e+03  -1.0 2.34e+03    -  2.74e-03 3.85e-05f  1
  84  2.2881987e+05 6.24e+04 4.28e+03  -1.0 4.60e+03    -  1.05e-04 4.68e-05f  1
  85r 2.2881987e+05 6.24e+04 1.00e+03   3.5 0.00e+00    -  0.00e+00 3.00e-07R  4
  86r 2.1527583e+05 5.55e+04 4.54e+04   3.5 1.29e+06    -  5.10e-03 1.20e-03f  1
  87  2.1526302e+05 5.55e+04 4.03e+02  -1.0 5.04e+03    -  3.25e-02 7.98e-05f  1
  88  2.1524380e+05 5.54e+04 5.49e+03  -1.0 2.94e+03    -  1.00e-03 6.54e-05f  1
  89  2.1523096e+05 5.54e+04 2.45e+06  -1.0 8.00e+03    -  9.02e-03 2.11e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 2.1523096e+05 5.54e+04 1.00e+03   3.4 0.00e+00    -  0.00e+00 3.68e-07R  3
  91r 2.0572837e+05 5.18e+04 1.01e+05   3.4 4.46e+05    -  5.98e-03 1.41e-03f  1
  92r 1.8259159e+05 4.18e+04 2.43e+05   2.7 1.71e+05    -  9.07e-03 6.21e-03f  1
  93r 1.4449728e+05 2.29e+04 2.07e+05   2.7 1.02e+05    -  4.05e-02 1.19e-02f  1
  94  1.4439186e+05 2.29e+04 5.74e+01  -1.0 5.42e+03    -  3.64e-02 8.16e-04f  1
  95  1.4433675e+05 2.29e+04 1.11e+02  -1.0 3.50e+03    -  1.53e-03 4.04e-04f  1
  96  1.4431155e+05 2.29e+04 4.64e+03  -1.0 5.37e+03    -  6.31e-03 1.56e-04f  1
  97  1.4430246e+05 2.29e+04 6.08e+05  -1.0 5.65e+03    -  6.17e-03 4.79e-05f  1
  98r 1.4430246e+05 2.29e+04 1.00e+03   3.2 0.00e+00    -  0.00e+00 4.37e-07R  3
  99r 1.3933619e+05 2.13e+04 1.77e+06   3.2 1.35e+05    -  8.04e-02 3.22e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 1.0077682e+05 7.61e+03 2.64e+05   3.2 2.69e+04    -  4.32e-02 3.89e-02f  1
 101  9.9747455e+04 7.54e+03 3.83e+01  -1.0 5.37e+03    -  1.65e-02 9.53e-03f  1
 102  9.9397025e+04 7.52e+03 3.81e+01  -1.0 4.50e+03    -  2.99e-02 3.45e-03f  1
 103  9.9015593e+04 7.49e+03 3.80e+01  -1.0 3.21e+03    -  7.42e-03 3.77e-03f  1
 104  9.9009912e+04 7.49e+03 1.62e+02  -1.0 3.27e+03    -  2.44e-02 5.51e-05f  1
 105  9.8931642e+04 7.48e+03 2.57e+03  -1.0 3.97e+03    -  1.52e-02 7.08e-04f  1
 106  9.8904235e+04 7.48e+03 2.53e+04  -1.0 4.74e+03    -  2.39e-03 2.43e-04f  1
 107r 9.8904235e+04 7.48e+03 1.00e+03   2.8 0.00e+00    -  0.00e+00 3.10e-07R  7
 108r 9.6522073e+04 7.06e+03 7.70e+05   2.8 8.51e+04    -  2.31e-01 2.62e-03f  1
 109r 6.6792656e+04 2.85e+03 1.86e+05   2.8 3.06e+04    -  7.06e-03 5.37e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  6.5561811e+04 2.82e+03 1.66e+02  -1.0 3.90e+03    -  2.97e-03 1.33e-02f  1
 111  6.5562997e+04 2.81e+03 1.71e+02  -1.0 1.54e+02   0.2 1.04e-03 9.85e-04h  1
 112  6.5565746e+04 2.81e+03 1.72e+02  -1.0 2.35e+02   0.7 3.00e-03 1.24e-04h  1
 113  6.5591706e+04 2.81e+03 1.53e+02  -1.0 2.85e+02   0.2 2.20e-04 9.05e-04h  1
 114  6.5620799e+04 2.81e+03 2.11e+02  -1.0 2.59e+02   0.6 3.84e-03 1.17e-03h  1
 115  6.5626148e+04 2.81e+03 2.12e+02  -1.0 4.37e+02   0.1 1.08e-03 2.38e-04h  1
 116r 6.5626148e+04 2.81e+03 9.99e+02   2.6 0.00e+00   0.6 0.00e+00 4.84e-07R  4
 117r 6.2172237e+04 2.50e+03 1.96e+05   2.6 2.74e+04    -  1.15e-01 6.62e-03f  1
 118r 5.4198550e+04 1.81e+03 1.27e+05   2.6 2.45e+04    -  1.12e-02 2.61e-02f  1
 119  5.4007853e+04 1.81e+03 3.88e+01  -1.0 5.09e+03    -  4.17e-03 1.26e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  5.3982422e+04 1.80e+03 3.98e+01  -1.0 4.09e+03    -  1.33e-02 2.40e-04f  1
 121  5.3801152e+04 1.80e+03 4.11e+01  -1.0 3.54e+03    -  1.19e-02 2.01e-03f  1
 122  5.3770438e+04 1.80e+03 4.24e+01  -1.0 4.87e+03    -  3.83e-03 2.72e-04f  1
 123  5.3764877e+04 1.80e+03 4.33e+02  -1.0 5.16e+03    -  6.32e-03 4.65e-05f  1
 124  5.2626795e+04 1.77e+03 2.95e+03  -1.0 2.38e+03    -  2.12e-02 1.69e-02f  1
 125  5.2174983e+04 1.76e+03 7.92e+03  -1.0 2.20e+03    -  2.22e-02 7.50e-03f  1
 126  5.1630147e+04 1.74e+03 1.30e+04  -1.0 2.01e+03    -  2.70e-02 1.03e-02f  1
 127  5.1562562e+04 1.74e+03 1.64e+04  -1.0 2.17e+03    -  9.04e-03 1.31e-03f  1
 128  4.8675356e+04 1.63e+03 5.41e+03  -1.0 1.94e+03    -  7.75e-03 6.34e-02f  1
 129  4.7138949e+04 1.55e+03 1.06e+04  -1.0 1.55e+03    -  3.79e-02 4.93e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  4.7062742e+04 1.54e+03 1.20e+04  -1.0 1.15e+03    -  7.32e-04 3.72e-03f  1
 131  4.7055171e+04 1.54e+03 3.06e+03  -1.0 1.39e+03    -  1.44e-02 3.17e-04f  1
 132  4.6267403e+04 1.49e+03 2.77e+04  -1.0 1.35e+03    -  8.52e-03 3.50e-02f  1
 133  4.5883429e+04 1.45e+03 3.76e+04  -1.0 9.64e+02    -  1.59e-02 2.47e-02f  1
 134  4.5743186e+04 1.44e+03 2.46e+04  -1.0 7.80e+02    -  1.93e-02 1.20e-02f  1
 135  4.5615743e+04 1.41e+03 3.59e+04  -1.0 4.10e+02    -  8.05e-03 1.72e-02f  1
 136  4.5586846e+04 1.41e+03 1.16e+04  -1.0 3.25e+02    -  2.00e-02 4.60e-03f  1
 137  4.5586219e+04 1.41e+03 1.35e+04  -1.0 7.69e+02    -  5.90e-03 7.19e-05f  1
 138  4.5563768e+04 1.40e+03 4.29e+04  -1.0 1.60e+03    -  4.90e-03 1.38e-03f  1
 139  4.5563338e+04 1.40e+03 9.39e+04  -1.0 1.55e+03    -  5.70e-03 3.93e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  4.5500174e+04 1.38e+03 7.61e+03  -1.0 1.56e+03    -  2.13e-03 1.33e-02f  1
 141  4.5553404e+04 1.38e+03 5.87e+03  -1.0 1.60e+03    -  4.76e-03 4.59e-03h  1
 142  4.5586027e+04 1.38e+03 2.70e+04  -1.0 1.39e+03    -  4.53e-03 2.12e-03h  1
 143  4.5604035e+04 1.37e+03 1.30e+05  -1.0 1.47e+03    -  7.85e-03 9.06e-04h  3
 144  4.5611082e+04 1.37e+03 2.52e+05  -1.0 2.20e+03    -  7.19e-03 3.19e-04h  5
 145  4.5620840e+04 1.37e+03 2.61e+05  -1.0 2.24e+03    -  7.97e-04 3.66e-04h  5
 146  4.5629536e+04 1.37e+03 3.11e+05  -1.0 2.46e+03    -  2.84e-03 3.07e-04h  5
 147  4.5645835e+04 1.37e+03 3.27e+05  -1.0 2.36e+03    -  1.33e-03 5.03e-04h  4
 148  4.5652983e+04 1.37e+03 5.39e+05  -1.0 2.77e+03    -  1.16e-02 2.25e-04h  5
 149  4.5667596e+04 1.37e+03 6.50e+05  -1.0 2.28e+03    -  3.80e-03 5.22e-04h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  4.5680262e+04 1.37e+03 7.93e+05  -1.0 2.50e+03    -  4.12e-03 4.58e-04h  4
 151  4.5690728e+04 1.37e+03 9.53e+05  -1.0 2.62e+03    -  3.81e-03 3.82e-04h  4
 152  4.5699102e+04 1.37e+03 1.82e+06  -1.0 2.67e+03    -  1.56e-02 3.31e-04h  4
 153  4.5767695e+04 1.36e+03 1.47e+06  -1.0 2.08e+03    -  1.12e-03 3.76e-03w  1
 154  4.5786692e+04 1.36e+03 2.80e+06  -1.0 1.93e+03    -  8.77e-03 1.24e-03w  1
 155  4.5818683e+04 1.36e+03 2.10e+06  -1.0 1.89e+03    -  2.03e-03 3.86e-03w  1
 156  4.5716251e+04 1.37e+03 1.84e+06  -1.0 2.64e+03    -  1.12e-03 9.39e-04h  2
 157  4.5727801e+04 1.37e+03 2.98e+06  -1.0 2.32e+03    -  9.20e-03 6.23e-04h  3
 158  4.5742352e+04 1.37e+03 3.00e+06  -1.0 1.75e+03    -  1.30e-03 1.19e-03h  3
 159  4.5756227e+04 1.36e+03 4.43e+06  -1.0 1.86e+03    -  5.91e-03 1.16e-03h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  4.5767989e+04 1.36e+03 4.86e+06  -1.0 1.84e+03    -  2.23e-03 1.37e-03h  3
 161  4.5776210e+04 1.36e+03 5.97e+06  -1.0 2.04e+03    -  2.66e-03 9.62e-04h  3
 162  4.5784920e+04 1.36e+03 6.52e+06  -1.0 2.12e+03    -  1.96e-03 1.36e-03h  2
 163  4.5791370e+04 1.36e+03 5.52e+06  -1.0 2.32e+03    -  2.05e-05 8.25e-04h  3
 164  4.5802702e+04 1.36e+03 5.20e+06  -1.0 2.52e+03    -  5.77e-04 8.39e-04h  2
 165  4.5814010e+04 1.36e+03 8.81e+06  -1.0 2.66e+03    -  3.57e-03 9.94e-04h  1
 166  4.5811512e+04 1.36e+03 1.19e+07  -1.0 2.40e+03    -  1.27e-03 2.47e-04f  1
 167  4.5782076e+04 1.35e+03 1.44e+07  -1.0 2.29e+03    -  2.43e-03 1.84e-03f  1
 168  4.5744979e+04 1.35e+03 7.53e+06  -1.0 2.32e+03    -  1.11e-03 1.76e-03f  1
 169  4.5727380e+04 1.35e+03 6.87e+06  -1.0 3.89e+03    -  3.52e-04 3.61e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  4.5705388e+04 1.35e+03 1.12e+08  -1.0 7.04e+03    -  3.96e-04 1.32e-04f  1
 171  4.5680572e+04 1.35e+03 1.35e+08  -1.0 3.28e+04    -  3.45e-05 3.01e-05f  1
 172  4.5666295e+04 1.35e+03 1.05e+08  -1.0 6.00e+04    -  2.12e-06 9.00e-06f  1
 173r 4.5666295e+04 1.35e+03 1.00e+03   2.2 0.00e+00    -  0.00e+00 3.82e-07R  3
 174r 4.5083131e+04 1.31e+03 6.39e+04   2.2 4.53e+04    -  1.79e-02 2.06e-03f  1
 175r 4.3542642e+04 1.21e+03 6.35e+04   2.2 2.34e+04    -  6.91e-03 6.90e-03f  1
 176  4.3525220e+04 1.21e+03 3.86e+01  -1.0 1.94e+03    -  1.23e-02 4.83e-04f  1
 177  4.3523148e+04 1.21e+03 2.06e+04  -1.0 2.21e+03    -  3.41e-02 5.08e-05f  1
 178r 4.3523148e+04 1.21e+03 1.00e+03   2.1 0.00e+00    -  0.00e+00 4.61e-07R  4
 179r 4.3008879e+04 1.18e+03 1.31e+03   2.1 2.42e+04    -  2.42e-04 1.40e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 4.2696367e+04 1.16e+03 1.43e+03   1.4 2.44e+04    -  1.90e-03 1.37e-03f  1
 181r 4.0791982e+04 1.01e+03 1.06e+04   1.4 4.54e+04    -  1.89e-03 5.05e-03f  1
 182  4.0783253e+04 1.01e+03 2.74e+03  -1.0 7.19e+02    -  6.27e-03 4.43e-04f  1
 183  4.0771481e+04 1.01e+03 1.41e+05  -1.0 8.16e+02    -  4.94e-02 7.77e-04f  1
 184  4.0777504e+04 1.01e+03 1.69e+05  -1.0 1.80e+03    -  1.02e-03 1.27e-04h  1
 185  4.0806299e+04 1.01e+03 2.22e+05  -1.0 2.89e+03    -  1.60e-03 4.02e-04h  3
 186  4.0837474e+04 1.01e+03 2.49e+05  -1.0 4.44e+03    -  6.19e-04 3.00e-04h  3
 187  4.0855651e+04 1.01e+03 2.72e+05  -1.0 4.63e+03    -  3.56e-04 1.69e-04h  4
 188  4.0890271e+04 1.01e+03 2.35e+05  -1.0 3.91e+03    -  1.14e-04 3.70e-04h  3
 189  4.0916826e+04 1.01e+03 2.39e+05  -1.0 3.89e+03    -  2.96e-04 2.75e-04h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  4.0956489e+04 1.01e+03 2.33e+05  -1.0 3.65e+03    -  3.96e-04 4.19e-04h  2
 191  4.0981346e+04 1.01e+03 2.54e+05  -1.0 3.21e+03    -  3.60e-04 3.04e-04h  2
 192  4.1033478e+04 1.01e+03 2.01e+05  -1.0 6.50e+03    -  7.60e-05 2.47e-04h  2
 193  4.1093197e+04 1.01e+03 2.32e+05  -1.0 6.26e+03    -  3.82e-04 3.01e-04h  1
 194  4.1115378e+04 1.01e+03 2.11e+05  -1.0 4.21e+03    -  1.71e-04 1.99e-04h  1
 195  4.1126805e+04 1.01e+03 1.30e+06  -1.0 2.80e+03    -  1.15e-03 2.20e-04h  1
 196  4.1117728e+04 1.01e+03 1.45e+06  -1.0 1.83e+03    -  3.30e-04 2.92e-04f  1
 197  4.1108481e+04 1.01e+03 1.80e+06  -1.0 2.36e+03    -  1.68e-04 1.39e-04f  1
 198  4.1098156e+04 1.01e+03 2.63e+06  -1.0 6.11e+03    -  1.19e-04 9.43e-05f  1
 199  4.1086949e+04 1.01e+03 9.56e+06  -1.0 9.69e+03    -  1.12e-04 5.48e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  4.1071979e+04 1.01e+03 1.70e+07  -1.0 2.13e+04    -  3.62e-05 2.70e-05h  1
 201  4.1069560e+04 1.01e+03 1.17e+08  -1.0 1.07e+05    -  5.85e-06 6.57e-07f  3
 202  4.1063654e+04 1.01e+03 2.84e+08  -1.0 2.66e+05    -  3.40e-06 9.82e-07f  2
 203r 4.1063654e+04 1.01e+03 1.00e+03   2.0 0.00e+00   8.4 0.00e+00 4.03e-07R  4
 204r 3.9953726e+04 9.75e+02 6.34e+04   2.0 2.14e+04    -  1.68e-02 6.16e-03f  1
 205r 3.8190091e+04 9.90e+02 6.66e+04   2.0 1.57e+04    -  4.51e-02 1.08e-02f  1
 206  3.8175500e+04 9.89e+02 3.86e+01  -1.0 7.38e+02    -  3.89e-03 7.03e-04f  1
 207  3.8173491e+04 9.89e+02 1.74e+03  -1.0 7.37e+02    -  2.02e-02 9.72e-05f  1
 208  3.8170972e+04 9.89e+02 1.69e+05  -1.0 9.09e+02    -  3.56e-02 1.59e-04f  1
 209  3.8160057e+04 9.89e+02 2.92e+05  -1.0 1.39e+03    -  1.97e-03 5.04e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  3.8154562e+04 9.88e+02 1.09e+06  -1.0 1.27e+03    -  2.47e-03 2.47e-04f  1
 211  3.8153411e+04 9.88e+02 1.13e+07  -1.0 6.48e+03    -  9.49e-04 3.08e-05h  1
 212  3.8138852e+04 9.88e+02 8.63e+06  -1.0 3.56e+04    -  6.68e-05 9.18e-05h  1
 213  3.8131752e+04 9.88e+02 2.79e+06  -1.0 2.13e+04    -  4.76e-05 1.29e-04h  1
 214r 3.8131752e+04 9.88e+02 1.00e+03   2.0 0.00e+00    -  0.00e+00 3.91e-07R  4
 215r 3.7716977e+04 1.01e+03 7.35e+04   2.0 2.03e+04    -  1.94e-02 2.16e-03f  1
 216r 3.5404370e+04 1.07e+03 9.45e+04   2.0 6.70e+03    -  7.76e-02 1.45e-02f  1
 217r 3.0672455e+04 8.22e+02 1.05e+05   2.0 4.32e+03    -  8.34e-02 4.03e-02f  1
 218r 2.9621369e+04 7.71e+02 1.22e+05   2.0 2.49e+03    -  1.08e-01 1.70e-02f  1
 219r 2.9603537e+04 7.67e+02 1.16e+05   2.0 3.15e+00   4.0 9.49e-02 2.07e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r 2.9579772e+04 7.58e+02 9.96e+04   2.0 2.63e+00   3.5 1.88e-01 4.38e-01f  1
