iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45  2.5121246e+06 1.14e+07 3.22e+08  -1.0 9.05e+04   2.8 8.64e-06 1.25e-03f  1
  46  2.5120648e+06 1.14e+07 3.81e+08  -1.0 1.06e+05   3.2 7.31e-04 1.12e-05f  1
  47  2.5120594e+06 1.14e+07 3.84e+08  -1.0 2.16e+05   2.7 7.42e-05 1.35e-06f  1
  48  2.5119636e+06 1.14e+07 3.91e+08  -1.0 2.25e+05   3.1 7.40e-05 2.45e-05f  1
  49  2.5107425e+06 1.14e+07 4.04e+08  -1.0 2.26e+05   2.7 6.32e-04 3.12e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.5093288e+06 1.14e+07 4.15e+08  -1.0 2.18e+05   3.1 4.57e-04 3.62e-04f  1
  51  2.5001184e+06 1.14e+07 5.69e+08  -1.0 2.14e+05   2.6 7.66e-03 2.37e-03f  1
  52  2.4924117e+06 1.14e+07 7.02e+08  -1.0 1.75e+05   3.0 4.17e-03 2.03e-03f  1
  53  2.4523011e+06 1.15e+07 6.67e+08  -1.0 1.68e+05   2.6 6.39e-03 1.09e-02f  1
  54  2.4476874e+06 1.15e+07 6.40e+08  -1.0 9.32e+04   3.0 1.94e-04 1.35e-03f  1
  55  2.4444157e+06 1.15e+07 6.49e+08  -1.0 1.48e+05   2.5 8.89e-03 1.11e-03f  1
  56  2.4443875e+06 1.15e+07 7.97e+08  -1.0 9.69e+04   2.9 7.50e-03 8.36e-06f  1
  57  2.4395869e+06 1.15e+07 7.83e+08  -1.0 5.84e+05   2.5 5.50e-03 2.46e-03f  1
  58  2.4344416e+06 1.14e+07 8.65e+08  -1.0 9.94e+04   2.9 6.36e-03 1.54e-03f  1
  59  2.4343888e+06 1.14e+07 8.81e+08  -1.0 1.08e+05   2.4 4.28e-03 1.66e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.4343883e+06 1.14e+07 1.07e+09  -1.0 1.03e+05   2.8 1.10e-02 1.51e-07f  1
  61  2.4336336e+06 1.14e+07 1.07e+09  -1.0 1.25e+06   2.4 4.67e-06 3.91e-04f  1
  62  2.4280006e+06 1.14e+07 1.04e+09  -1.0 1.01e+05   2.8 8.42e-07 1.63e-03f  1
  63  2.4209636e+06 1.14e+07 1.04e+09  -1.0 4.32e+05   2.3 2.54e-03 2.30e-03f  1
  64  2.4196511e+06 1.14e+07 1.13e+09  -1.0 1.10e+05   2.7 3.82e-03 3.83e-04f  1
  65  2.4196473e+06 1.14e+07 1.18e+09  -1.0 1.64e+05   2.3 2.17e-03 1.14e-06f  1
  66  2.4111025e+06 1.14e+07 1.21e+09  -1.0 1.12e+05   2.7 3.70e-03 2.50e-03f  1
  67  2.4110292e+06 1.14e+07 1.58e+09  -1.0 4.34e+05   3.1 2.42e-04 2.05e-05f  1
  68  2.4104342e+06 1.14e+07 1.29e+09  -1.0 5.28e+05   2.6 2.23e-06 1.66e-04f  1
  69r 2.4104342e+06 1.14e+07 1.00e+03   5.1 0.00e+00   2.2 0.00e+00 2.29e-10R  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 2.1688696e+06 5.45e+06 7.28e+05   5.1 2.98e+07    -  1.91e-02 2.38e-03f  1
  71  2.1680429e+06 5.44e+06 3.86e+01  -1.0 4.46e+03    -  1.43e-02 6.27e-04f  1
  72  2.1674108e+06 5.44e+06 3.86e+01  -1.0 4.27e+04    -  1.74e-05 1.63e-04f  1
  73  2.1660106e+06 5.44e+06 3.86e+01  -1.0 1.09e+05    -  4.86e-05 1.76e-04f  1
  74  2.1629847e+06 5.44e+06 3.86e+01  -1.0 1.17e+05    -  2.45e-04 3.58e-04f  1
  75  2.0730072e+06 5.61e+06 2.07e+02  -1.0 1.03e+05    -  1.26e-04 1.24e-02f  1
  76  2.0576160e+06 5.59e+06 7.86e+01  -1.0 1.08e+05    -  4.12e-04 4.28e-03f  1
  77  2.0573644e+06 5.59e+06 1.03e+04  -1.0 9.68e+04    -  1.33e-02 3.85e-05f  1
  78  1.9765126e+06 1.12e+08 2.49e+04  -1.0 6.19e+06    -  6.66e-05 6.40e-03f  1
  79  1.9764860e+06 1.12e+08 7.82e+05  -1.0 7.79e+04   1.7 3.03e-04 3.92e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.9735702e+06 1.12e+08 6.36e+05  -1.0 9.76e+04   1.2 2.40e-04 3.89e-04f  1
  81  1.9730345e+06 1.12e+08 7.97e+05  -1.0 1.06e+05   0.7 1.90e-04 3.79e-05f  1
  82  1.9645965e+06 1.12e+08 6.77e+05  -1.0 1.25e+05   0.2 2.79e-04 5.67e-04f  1
  83  1.9385996e+06 1.12e+08 4.36e+05  -1.0 1.71e+05  -0.2 5.43e-04 1.73e-03f  1
  84  1.8654444e+06 1.12e+08 8.94e+04  -1.0 2.55e+05  -0.7 1.75e-03 4.56e-03f  1
  85  1.8463413e+06 1.12e+08 1.27e+07  -1.0 1.16e+06  -1.2 6.41e-03 7.71e-04f  1
  86  1.8472283e+06 1.12e+08 3.24e+07  -1.0 5.48e+06  -1.7 6.93e-05 1.42e-05h  1
  87  1.8460539e+06 1.12e+08 1.25e+05  -1.0 5.27e+06  -2.1 1.15e-07 1.05e-05f  1
  88  1.8465928e+06 1.12e+08 1.25e+05  -1.0 2.84e+06  -1.7 5.07e-06 5.07e-06s  5
  89r 1.8465928e+06 1.12e+08 1.00e+03   6.0 0.00e+00  -2.2 0.00e+00 0.00e+00R  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 1.8465691e+06 1.12e+08 1.18e+09   6.0 3.06e+08    -  1.79e-02 7.06e-06f 10
  91r 1.7844373e+06 2.80e+07 2.93e+09   3.3 1.23e+08    -  1.28e-01 8.97e-03f  1
  92  1.7844082e+06 2.80e+07 7.42e+02  -1.0 9.48e+03    -  1.60e-02 2.13e-05f  1
  93r 1.7844082e+06 2.80e+07 9.99e+02   5.4 0.00e+00    -  0.00e+00 3.71e-07R  5
  94r 1.7286316e+06 6.83e+06 9.89e+08   5.4 8.02e+07    -  5.76e-02 3.46e-03f  1
  95  1.7186862e+06 6.80e+06 3.24e+02  -1.0 3.79e+04    -  4.17e-03 4.78e-03f  1
  96  1.7186330e+06 6.80e+06 2.95e+02  -1.0 1.15e+05    -  4.70e-03 1.57e-05f  1
  97  1.7184701e+06 6.80e+06 4.91e+02  -1.0 2.51e+04    -  5.15e-03 1.63e-04f  1
  98  1.7172218e+06 6.77e+06 2.56e+02  -1.0 3.97e+04    -  1.59e-04 3.15e-03f  1
  99  1.7103524e+06 6.76e+06 1.38e+03  -1.0 1.10e+05    -  5.62e-03 1.57e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.7096929e+06 6.76e+06 2.16e+04  -1.0 2.66e+05    -  6.88e-03 7.66e-04f  1
 101  1.7066572e+06 6.76e+06 1.53e+03  -1.0 6.97e+05    -  5.91e-05 6.81e-04f  1
 102  1.6983555e+06 6.75e+06 1.37e+03  -1.0 1.84e+05    -  1.07e-03 1.10e-03f  1
 103  1.6982277e+06 6.75e+06 1.04e+03  -1.0 6.20e+05  -0.9 1.00e-06 3.32e-06f  1
 104  1.6982270e+06 6.75e+06 1.04e+03  -1.0 1.14e+05  -0.4 3.11e-08 9.15e-08f  1
 105r 1.6982270e+06 6.75e+06 1.00e+03   4.8 0.00e+00    -  0.00e+00 7.81e-09R  2
 106r 1.7038173e+06 6.49e+06 7.14e+06   4.8 2.20e+07    -  6.76e-04 1.19e-04f  4
 107r 1.6621870e+06 4.59e+06 4.75e+08   4.8 2.05e+07    -  2.16e-02 1.02e-03f  1
 108  1.6617950e+06 4.59e+06 1.20e+05  -1.0 5.10e+03    -  5.49e-02 2.99e-04f  1
 109  1.6596802e+06 4.59e+06 1.24e+05  -1.0 5.40e+04    -  6.82e-03 9.87e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.6652922e+06 4.58e+06 1.21e+05  -1.0 7.63e+04    -  1.31e-03 2.68e-03h  1
 111  1.6418623e+06 4.59e+06 9.94e+04  -1.0 1.22e+05    -  3.76e-04 2.66e-03f  1
 112  1.6436811e+06 4.59e+06 1.49e+05  -1.0 4.48e+05    -  6.47e-04 1.64e-04h  1
 113  1.6441831e+06 4.59e+06 3.73e+05  -1.0 1.91e+06    -  4.38e-04 2.16e-05h  3
 114r 1.6441831e+06 4.59e+06 1.00e+03   4.7 0.00e+00    -  0.00e+00 4.76e-07R  9
 115r 1.5838053e+06 3.12e+06 2.93e+09   4.7 1.69e+07    -  2.11e-03 1.44e-03f  1
 116  1.5833586e+06 3.11e+06 1.93e+02  -1.0 5.31e+03    -  6.62e-02 3.36e-04f  1
 117  1.5834521e+06 3.11e+06 7.06e+03  -1.0 7.12e+04    -  2.77e-03 7.61e-05h  1
 118  1.5844740e+06 3.11e+06 1.08e+04  -1.0 7.25e+05    -  1.67e-04 3.24e-05h  4
 119  1.5781947e+06 3.11e+06 2.79e+04  -1.0 5.38e+05    -  6.88e-04 2.80e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.5761560e+06 3.09e+06 1.22e+04  -1.0 4.82e+04    -  6.54e-05 7.30e-03f  1
 121  1.5649126e+06 3.08e+06 6.55e+03  -1.0 4.28e+04    -  3.91e-03 4.57e-03f  1
 122  1.5648477e+06 3.08e+06 6.62e+03  -1.0 4.19e+04  -0.9 6.27e-05 4.67e-05f  1
 123  1.5451113e+06 3.07e+06 1.71e+04  -1.0 2.81e+05    -  1.48e-07 1.01e-03f  1
 124  1.5443384e+06 3.07e+06 1.59e+04  -1.0 2.72e+04  -0.5 8.65e-05 7.13e-04f  1
 125  1.5443333e+06 3.07e+06 2.17e+04  -1.0 2.50e+04  -0.1 8.63e-04 4.91e-06f  1
 126  1.5475178e+06 3.04e+06 1.14e+05  -1.0 5.47e+04    -  8.18e-07 1.03e-02h  2
 127  1.5473268e+06 3.04e+06 1.14e+05  -1.0 8.26e+04  -0.5 2.17e-04 1.63e-04f  1
 128  1.5473139e+06 3.04e+06 1.41e+06  -1.0 2.57e+04   0.8 1.46e-02 5.23e-06f  1
 129  1.5472071e+06 3.04e+06 2.41e+06  -1.0 3.79e+04   0.3 3.02e-02 3.72e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.5409615e+06 3.03e+06 2.73e+06  -1.0 4.38e+04  -0.2 9.29e-03 1.45e-03f  1
 131  1.5333020e+06 3.03e+06 3.64e+06  -1.0 1.21e+05    -  1.60e-02 1.58e-03f  1
 132  1.5331517e+06 3.03e+06 2.73e+06  -1.0 2.91e+06    -  3.51e-06 2.22e-05f  1
 133  1.5321701e+06 3.03e+06 3.07e+06  -1.0 8.92e+04    -  2.44e-05 1.52e-04f  1
 134  1.5292658e+06 3.03e+06 3.33e+06  -1.0 7.74e+04    -  2.44e-04 4.95e-04f  1
 135  1.5206868e+06 3.02e+06 3.37e+06  -1.0 6.70e+04    -  1.44e-03 1.64e-03f  1
 136  1.5213021e+06 3.02e+06 3.55e+06  -1.0 9.47e+05    -  1.16e-06 3.29e-05h  6
 137  1.5191609e+06 3.02e+06 2.47e+06  -1.0 7.31e+04    -  2.47e-03 4.37e-04f  1
 138  1.5191518e+06 3.02e+06 2.22e+06  -1.0 1.85e+07  -0.6 2.67e-06 3.02e-07f  1
 139  1.5191370e+06 3.02e+06 3.23e+06  -1.0 1.15e+07    -  3.42e-08 1.26e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.5191342e+06 3.02e+06 3.23e+06  -1.0 5.44e+05   1.6 4.35e-09 1.78e-07f  1
 141r 1.5191342e+06 3.02e+06 1.00e+03   4.5 0.00e+00    -  0.00e+00 7.41e-09R  2
 142r 1.4556199e+06 2.81e+06 8.14e+05   4.5 9.36e+06    -  1.04e-02 1.39e-03f  1
 143r 1.4432521e+06 2.75e+06 3.98e+07   4.5 2.48e+06    -  1.11e-03 4.06e-04f  1
 144r 1.2854542e+06 2.05e+06 1.60e+08   3.1 2.28e+06    -  2.33e-03 5.40e-03f  1
 145  1.2853003e+06 2.05e+06 9.99e+04  -1.0 4.40e+03    -  5.84e-02 1.90e-04f  1
 146  1.2852543e+06 2.05e+06 1.06e+05  -1.0 4.53e+04    -  4.09e-03 5.53e-05f  1
 147  1.2852093e+06 2.05e+06 1.56e+06  -1.0 1.55e+05    -  6.59e-04 9.39e-06f  1
 148  1.2851541e+06 2.05e+06 3.27e+06  -1.0 3.62e+06    -  1.30e-05 2.09e-06f  1
 149  1.2851526e+06 2.05e+06 5.10e+07  -1.0 3.00e+07    -  1.81e-05 3.70e-07f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.2851459e+06 2.05e+06 2.65e+07  -1.0 1.33e+08    -  2.31e-08 4.65e-07f  1
 151  1.2851455e+06 2.05e+06 5.90e+08  -1.0 2.02e+06   1.1 5.05e-06 2.16e-07f  2
 152r 1.2851455e+06 2.05e+06 1.00e+03   4.4 0.00e+00   0.6 0.00e+00 1.37e-07R  2
 153r 1.2649211e+06 1.98e+06 3.51e+08   4.4 1.30e+06    -  1.34e-03 7.69e-04f  1
 154r 1.1258641e+06 1.55e+06 3.46e+08   3.7 1.06e+06    -  8.66e-03 5.31e-03f  1
 155r 1.0351897e+06 1.25e+06 3.28e+08   3.7 1.10e+06    -  4.04e-02 3.16e-03f  1
 156r 7.2748228e+05 4.62e+05 4.59e+09   3.7 5.45e+05    -  1.25e-01 1.97e-02f  1
 157  7.2695209e+05 4.62e+05 5.78e+02  -1.0 6.84e+03    -  5.71e-03 1.07e-03f  1
 158  7.2669851e+05 4.61e+05 5.40e+02  -1.0 6.01e+03    -  1.95e-04 5.02e-04f  1
 159  7.2669545e+05 4.61e+05 5.96e+03  -1.0 5.10e+04    -  1.14e-02 8.13e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 7.2669545e+05 4.61e+05 1.00e+03   4.2 0.00e+00    -  0.00e+00 2.65e-07R  6
 161r 6.8084730e+05 4.21e+05 8.64e+08   4.2 5.15e+05    -  4.90e-02 5.33e-03f  1
 162r 4.7766401e+05 1.91e+05 1.38e+09   3.5 1.43e+05    -  8.52e-02 3.61e-02f  1
 163  4.7711200e+05 1.90e+05 1.70e+02  -1.0 3.40e+03    -  1.44e-02 1.52e-03f  1
 164  4.7687930e+05 1.90e+05 2.07e+02  -1.0 5.47e+03    -  3.40e-03 6.64e-04f  1
 165  4.7687545e+05 1.90e+05 5.05e+03  -1.0 9.57e+04    -  3.43e-03 2.23e-05f  1
 166r 4.7687545e+05 1.90e+05 1.00e+03   4.0 0.00e+00    -  0.00e+00 4.11e-07R  9
 167r 4.4921266e+05 1.79e+05 8.12e+07   4.0 1.10e+05    -  7.24e-02 6.71e-03f  1
 168r 2.9753749e+05 8.30e+04 7.35e+07   3.3 1.02e+05    -  1.17e-01 5.31e-02f  1
 169  2.9704312e+05 8.28e+04 1.16e+03  -1.0 2.23e+03    -  1.78e-01 2.05e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  2.9681663e+05 8.27e+04 1.34e+03  -1.0 3.89e+03    -  9.88e-03 1.07e-03f  1
 171  2.9682809e+05 8.27e+04 2.50e+03  -1.0 1.59e+05    -  1.52e-03 1.03e-04h  1
 172r 2.9682809e+05 8.27e+04 1.00e+03   3.5 0.00e+00    -  0.00e+00 3.33e-07R 10
 173r 2.7662184e+05 7.67e+04 4.85e+07   3.5 6.56e+04    -  2.46e-01 7.11e-03f  1
 174  2.7655615e+05 7.67e+04 5.87e+02  -1.0 2.58e+03    -  1.71e-01 2.88e-04f  1
 175  2.7658154e+05 7.67e+04 3.35e+03  -1.0 1.43e+05    -  1.58e-03 1.29e-04h  2
 176r 2.7658154e+05 7.67e+04 1.00e+03   3.4 0.00e+00    -  0.00e+00 3.10e-07R 12
 177r 2.3351073e+05 6.10e+04 2.00e+07   3.4 6.21e+04    -  2.56e-01 1.66e-02f  1
 178  2.3338303e+05 6.10e+04 2.04e+02  -1.0 2.19e+03    -  1.32e-01 6.34e-04f  1
 179  2.3336979e+05 6.09e+04 1.43e+03  -1.0 3.45e+04    -  4.29e-03 4.37e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  2.3339488e+05 6.09e+04 3.27e+03  -1.0 1.43e+05    -  1.53e-03 6.11e-05h  5
 181  2.3343384e+05 6.09e+04 3.91e+03  -1.0 1.02e+05    -  5.35e-04 8.05e-05h  5
 182  2.3352153e+05 6.09e+04 4.85e+03  -1.0 1.36e+04   0.2 3.16e-04 2.58e-04h  1
 183  2.3367401e+05 6.09e+04 8.26e+03  -1.0 3.99e+04  -0.3 3.04e-04 1.89e-04h  1
 184  2.3393023e+05 6.09e+04 1.39e+04  -1.0 7.45e+04  -0.8 7.63e-04 3.09e-04h  3
 185  2.3415272e+05 6.09e+04 3.83e+04  -1.0 5.55e+04  -0.4 1.19e-03 2.40e-04h  3
 186  2.3418626e+05 6.09e+04 3.79e+04  -1.0 1.20e+05  -0.8 8.31e-04 6.81e-05h  6
 187  2.3458020e+05 6.08e+04 9.31e+04  -1.0 5.50e+04  -0.4 3.45e-03 4.58e-04h  3
 188  2.3453013e+05 6.08e+04 7.85e+04  -1.0 1.45e+06  -0.9 1.58e-04 7.60e-06f  5
 189  2.3553244e+05 6.08e+04 2.28e+05  -1.0 4.98e+04  -0.5 7.33e-03 1.39e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  2.3550038e+05 6.08e+04 1.53e+05  -1.0 4.73e+07    -  2.10e-06 9.61e-07f  3
 191  2.3534667e+05 6.08e+04 7.59e+05  -1.0 1.07e+06  -0.9 9.48e-04 2.76e-05f  3
 192  2.3531990e+05 6.08e+04 6.39e+06  -1.0 7.78e+05  -0.5 1.69e-03 5.26e-06f  6
 193  2.3530335e+05 6.08e+04 8.71e+06  -1.0 8.79e+05  -1.0 1.69e-03 3.07e-06f  6
 194  2.3529277e+05 6.08e+04 1.03e+07  -1.0 9.70e+05    -  1.43e-03 2.08e-06f  7
 195  2.3467707e+05 6.07e+04 1.91e+07  -1.0 1.03e+06    -  1.58e-03 1.24e-04f  1
 196  2.3463508e+05 6.07e+04 1.03e+08  -1.0 2.52e+06    -  1.26e-04 2.26e-05f  1
 197r 2.3463508e+05 6.07e+04 1.00e+03   3.2 0.00e+00    -  0.00e+00 2.68e-08R  2
 198r 1.9043264e+05 4.21e+04 1.24e+06   3.2 5.21e+04    -  6.32e-02 1.93e-02f  1
 199  1.9033080e+05 4.21e+04 3.86e+01  -1.0 3.84e+03    -  7.50e-03 3.79e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.9026400e+05 4.21e+04 3.86e+01  -1.0 5.00e+03    -  4.06e-05 1.88e-04f  1
 201  1.9026259e+05 4.21e+04 1.64e+04  -1.0 2.85e+04    -  1.71e-02 2.59e-06f  1
 202  1.9025688e+05 4.21e+04 1.36e+05  -1.0 1.80e+05    -  2.74e-03 3.12e-06f  1
 203  1.9025510e+05 4.21e+04 3.18e+06  -1.0 8.94e+05    -  8.14e-05 1.07e-06f  1
 204  1.9024739e+05 4.21e+04 4.78e+07  -1.0 2.03e+06    -  3.26e-05 1.63e-06f  1
 205  1.9024680e+05 4.21e+04 3.31e+08  -1.0 1.44e+07    -  3.43e-06 2.76e-07f  2
 206r 1.9024680e+05 4.21e+04 1.00e+03   2.7 0.00e+00    -  0.00e+00 1.45e-07R  2
 207r 1.6835989e+05 3.43e+04 4.83e+04   2.7 3.88e+04    -  1.88e-02 8.27e-03f  1
 208  1.6834039e+05 3.43e+04 1.18e+02  -1.0 3.48e+03    -  9.44e-03 7.80e-05f  1
 209  1.6833979e+05 3.43e+04 1.01e+05  -1.0 1.51e+04    -  2.11e-02 1.48e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  1.6833440e+05 3.43e+04 1.05e+07  -1.0 2.54e+04    -  1.93e-03 1.65e-05f  1
 211r 1.6833440e+05 3.43e+04 1.00e+03   2.5 0.00e+00    -  0.00e+00 3.07e-07R  2
 212r 1.4809006e+05 2.72e+04 1.01e+03   2.5 2.50e+04    -  3.03e-03 8.09e-03f  1
 213  1.4807664e+05 2.72e+04 1.36e+02  -1.0 3.28e+03    -  8.55e-03 6.17e-05f  1
 214  1.4807646e+05 2.72e+04 5.34e+04  -1.0 1.50e+04    -  7.76e-03 4.94e-07f  2
 215  1.4807347e+05 2.72e+04 9.06e+04  -1.0 6.52e+04    -  2.63e-05 1.48e-05f  1
 216  1.4807314e+05 2.72e+04 3.13e+06  -1.0 4.32e+05    -  3.48e-05 7.42e-07f  2
 217r 1.4807314e+05 2.72e+04 1.00e+03   2.4 0.00e+00    -  0.00e+00 8.80e-08R  2
 218r 1.2911985e+05 2.10e+04 5.00e+03   2.4 1.31e+04    -  1.85e-02 8.93e-03f  1
 219  1.2910745e+05 2.10e+04 8.49e+01  -1.0 3.31e+03    -  5.83e-03 6.68e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
