iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 152r 5.3456849e+05 1.15e+05 2.08e+06   3.4 4.30e+04    -  8.28e-03 4.94e-02f  1
 153  5.3316676e+05 1.14e+05 3.85e+01  -1.0 3.63e+03    -  3.51e-03 2.84e-03f  1
 154  5.3279426e+05 1.14e+05 3.85e+01  -1.0 3.50e+03    -  9.72e-03 7.67e-04f  1
 155  5.3153952e+05 1.14e+05 3.84e+01  -1.0 3.45e+03    -  2.34e-03 2.59e-03f  1
 156  5.2691070e+05 1.13e+05 3.81e+01  -1.0 3.50e+03    -  1.46e-04 8.94e-03f  1
 157  5.2339938e+05 1.12e+05 3.78e+01  -1.0 3.25e+03    -  5.72e-03 6.82e-03f  1
 158  5.1704901e+05 1.11e+05 3.73e+01  -1.0 3.24e+03    -  1.01e-02 1.23e-02f  1
 159  5.1674308e+05 1.11e+05 1.34e+02  -1.0 3.40e+03    -  1.67e-02 5.77e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  5.1652135e+05 1.11e+05 1.69e+03  -1.0 3.74e+03    -  4.61e-03 3.88e-04f  1
 161  5.1648825e+05 1.11e+05 1.87e+05  -1.0 4.83e+03    -  5.58e-03 5.44e-05f  1
 162r 5.1648825e+05 1.11e+05 1.00e+03   3.0 0.00e+00    -  0.00e+00 4.82e-07R  4
 163r 5.0023563e+05 1.06e+05 6.12e+04   3.0 5.54e+04    -  2.99e-02 4.64e-03f  1
 164r 4.3021008e+05 8.30e+04 1.41e+05   3.0 2.92e+04    -  1.87e-01 2.18e-02f  1
 165  4.2943477e+05 8.29e+04 3.86e+01  -1.0 3.09e+03    -  2.04e-02 1.92e-03f  1
 166  4.2903763e+05 8.28e+04 9.48e+01  -1.0 2.95e+03    -  9.92e-03 9.35e-04f  1
 167  4.2899263e+05 8.28e+04 2.42e+03  -1.0 3.15e+03    -  2.20e-03 9.21e-05f  1
 168  4.2890858e+05 8.27e+04 1.02e+02  -1.0 4.64e+04    -  5.60e-06 4.78e-04f  1
 169  4.2580154e+05 8.21e+04 6.16e+03  -1.0 1.03e+04    -  2.14e-03 7.39e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  4.2558075e+05 8.21e+04 7.03e+03  -1.0 2.42e+03    -  4.32e-03 4.59e-04f  1
 171  4.2296624e+05 8.17e+04 7.57e+03  -1.0 3.53e+03    -  7.72e-03 5.08e-03f  1
 172r 4.2296624e+05 8.17e+04 1.00e+03   2.9 0.00e+00  12.4 0.00e+00 8.52e-10R  2
 173r 4.0431057e+05 7.54e+04 1.61e+04   2.9 2.96e+04    -  3.74e-02 6.51e-03f  1
 174r 3.4151451e+05 5.57e+04 1.96e+04   2.2 2.70e+04    -  4.72e-02 2.43e-02f  1
 175  3.3754758e+05 5.51e+04 7.15e+02  -1.0 2.46e+03    -  1.00e-02 1.07e-02f  1
 176  3.3748043e+05 5.51e+04 7.53e+02  -1.0 5.62e+03    -  1.36e-03 1.54e-04f  1
 177  3.3737649e+05 5.51e+04 8.24e+02  -1.0 2.85e+04    -  7.37e-04 2.98e-04f  1
 178  3.3728586e+05 5.51e+04 1.26e+03  -1.0 1.20e+04    -  6.06e-04 1.82e-04f  1
 179  3.3707571e+05 5.50e+04 1.51e+04  -1.0 4.56e+03    -  3.29e-03 3.45e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  3.3677953e+05 5.50e+04 4.06e+04  -1.0 5.53e+03    -  1.09e-03 4.05e-04f  1
 181  3.3669988e+05 5.50e+04 1.68e+05  -1.0 8.47e+03    -  4.94e-04 1.55e-04f  1
 182r 3.3669988e+05 5.50e+04 1.00e+03   2.7 0.00e+00    -  0.00e+00 3.91e-07R  6
 183r 3.1770824e+05 4.99e+04 5.63e+04   2.7 2.65e+04    -  3.94e-01 8.07e-03f  1
 184r 2.3556039e+05 2.80e+04 1.24e+07   2.7 2.14e+04    -  5.97e-02 5.10e-02f  1
 185  2.3480481e+05 2.79e+04 3.85e+01  -1.0 2.11e+03    -  3.35e-02 3.57e-03f  1
 186  2.3420705e+05 2.78e+04 3.84e+01  -1.0 1.98e+03    -  4.20e-03 2.35e-03f  1
 187  2.3406494e+05 2.78e+04 1.49e+02  -1.0 2.00e+03    -  5.54e-03 5.22e-04f  1
